"table_name","constraint_name","constraint_type","column_name","foreign_table_name","foreign_column_name"
"capital_shareholders","capital_shareholders_capital_id_fkey","FOREIGN KEY","capital_id","capitals","id"
"capital_shareholders","capital_shareholders_pkey","PRIMARY KEY","id","capital_shareholders","id"
"capitals","capitals_pkey","PRIMARY KEY","id","capitals","id"
"kpi_targets","kpi_targets_pkey","PRIMARY KEY","id","kpi_targets","id"
"staff","staff_pkey","PRIMARY KEY","id","staff","id"
"support_bonuses","support_bonuses_pkey","PRIMARY KEY","department","support_bonuses","department"
"sync_logs","sync_logs_pkey","PRIMARY KEY","id","sync_logs","id"
"users","users_email_key","UNIQUE","email","users","email"
"users","users_id_fkey","FOREIGN KEY","id","users","id"
"users","users_pkey","PRIMARY KEY","id","users","id"
"users","users_pkey","PRIMARY KEY","id","users","id"
"users","users_pkey","PRIMARY KEY","id","users","id"
"users","users_pkey","PRIMARY KEY","id","users","id"
"vehicle_costs","fk_vehicle_costs","FOREIGN KEY","vehicle_id","vehicles","id"
"vehicle_costs","vehicle_costs_pkey","PRIMARY KEY","id","vehicle_costs","id"
"vehicle_payments","fk_vehicle_payments_vehicle","FOREIGN KEY","vehicle_id","vehicles","id"
"vehicle_payments","vehicle_payments_pkey","PRIMARY KEY","id","vehicle_payments","id"
"vehicles","fk_sales_staff","FOREIGN KEY","sales_staff_id","staff","id"
"vehicles","vehicles_pkey","PRIMARY KEY","id","vehicles","id"